id,prediction
c6d58c3f69,2
cefcc82292,1
e98005252c,0
58518c10ba,2
c32b0d16df,0
a16f7ed56b,0
c156e8fed5,0
d41b559e9f,1
126e3cfa1b,0
195bf91d47,2
ab63216ae6,2
23c3a73fc6,1
6f6c6fea9d,2
a956661b91,1
0e3e5e73c6,0
1ab8fd34c1,1
8117fa2533,2
8916c42b8d,0
10805bf82e,2
206acf3c75,2
90e8e71f2a,0
082942d779,1
a3a051aa28,1
dbb048e569,0
01874127e0,2
a0b1eeb830,1
f469087306,2
89c44454bb,2
01699b0a8c,1
c148198cdc,1
83d32253ff,2
f2ce237405,2
a357a4c329,0
e7ca02b50f,1
408628f5b2,2
828b2dc89f,1
923e58ba4a,1
981c6f5c15,2
b31af3320b,1
0540817ced,0
0407d5179a,1
9c0b597928,0
48efbfd63b,2
c0df00a780,2
c4c5a04a19,1
11a8bb1532,0
d670f34bde,2
76f97a920d,1
335c1cafdc,0
65913a9534,2
a60fe1058c,0
053cd47aa3,0
f93367edb3,0
f7bf792d7d,1
9226c99298,2
ae5cd61d9e,1
87f34a926f,2
12051e5659,1
70a495721e,1
bad35724ac,0
3781e644a0,2
1d3427a65a,2
747ea4221b,1
dde8c2d337,1
1caffb4201,1
cd41b8b517,1
8d64740fa8,1
90e1e6624a,0
8169b51f9e,1
8c96cebc94,2
965aead0f9,0
65da1f45bb,2
d947ed7814,2
b036a02689,0
95d51b25de,1
1bf54d8e18,1
604706577e,2
9d814fe78e,1
62a4b25585,1
461c7c397b,2
3fc843810d,1
12ddf600bd,0
00deb39e72,2
db4d66d4ed,1
ed35c4682f,1
ba6b8d322d,1
ecf1e13d6f,0
809cbcd2c7,1
c958369a67,0
c02fb02d31,2
e664502768,1
33f66aef6d,1
4342a8ec3e,1
1d4162343e,0
0d0599b8cd,1
6259c31e5c,2
149afaad0b,0
9d5003f950,2
57ee711d64,0
c339b960ec,1
406ac9b8f2,0
35ac0316be,0
e3b53c72eb,1
87934bc95e,0
7c09327384,0
90cf466a22,1
42c14a7720,0
cd5bbc1375,1
2d1cf74e73,0
8a6b65d66b,0
dc54a17194,1
89de0d762e,1
37c98de879,1
7aadc0a325,1
4e6a3ec2ef,0
16f6384111,0
c6417affe5,2
1537d937c6,2
0f8f59d99d,1
dfc56f7f62,1
1b6d8059a3,1
bca8a1a0ed,2
031f008818,0
914a17e8de,1
b23b093d7c,1
d96539f529,2
83e7d866fb,1
66cbd2334d,1
c3e2152e63,0
34d7a9ce14,1
c34863c1f4,1
2bd34f85fa,2
5616b0de03,0
337a8b498a,0
2c9cd1897c,2
4aa0dbc350,0
de5657b6e0,1
9315a61348,1
bc3f779ec3,1
e8111d3288,0
24e79c62eb,0
67d570bba4,1
ca7ffc8127,2
266c820897,1
be4527f31f,1
d476ddd84f,2
d04807e35a,1
0b6d8b0ce3,1
11848b8adc,2
c1d2d71c3c,1
6b3f8b8e6d,0
605bc369ba,0
76f33c5d6e,1
9b9ea6999b,2
ef61253e19,0
8a7f1c871e,0
9729696edc,0
e6613a6ada,1
4148328322,1
67fce3ce02,0
2f6fcf5e4d,0
b3b5e091b5,2
668624f71b,0
87e5101b51,0
