id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,comment considered formulating interim rule,The rule developed interim put together comment mind,en,English,0
5b72532a0b,These issue wrestle practice group law firm said,Practice group permitted work issue,en,English,2
5622f0c60b,know ca n't really defend like somebody grown uh say age know yeah,They can't defend age,en,English,0
fdcd1bd867,From Cockpit Country St. Ann 's Bay,From St. Ann 's Bay Cockpit Country,en,English,2
7cfb3d272c,Look 's skin 're going trouble n't get busy,The bos fire see slacking,en,English,1
dd4f0d9f25,`` If people knew fatally easy poison one mistake would n't joke,Many people poisoned someone mistake,en,English,1
0a3f52c547,My little corner world policy wonking example,An example policy wonking,en,English,0
4b0eca3ccb,life prison 's available parole 's 's life day 's eligible parole know let 's quit BSing system,The system corrupt wo n't able get parole 's life day,en,English,1
cad235551c,The street crammed vendor selling shrine offering sweet curd coconut well garland holy image,Vendors lined street torch fire,en,English,2
d8b3a4fb06,North Mytilini stop village Moria find remains huge Roman aqueduct surrounded grazing goat,There nothing special see village Moria,en,English,2
ad5a79456e,Increased saving current generation would expand nation 's capital stock allowing future generation better afford nation 's retirement cost also enjoying higher standard living,Current generation increased saving would expand nation 's capital stock allowing future generation easily afford nation 's retirement cost also enjoying higher standard living,en,English,0
a7b0b9498c,It 's beginning '',A great journey begin,en,English,1
17c1f14619,Britain 's best-selling tabloid Sun announced front-page world exclusive Friday Texan model Jerry Hall started divorce proceeding aging rock star Mick Jagger High Court London,The Sun make million every year fake news,en,English,1
f5f4dc48c1,Savonarola burned Florence,Florence became Savonarola 's new home,en,English,2
6a98a077a5,It COLOSSAL '',It gigantic,en,English,0
655cc51991,He say men,He said men,en,English,2
89fdd6de05,yeah uh-huh oh yeah petting zoo thing,Yes petting thing,en,English,0
14fa262750,The almost midtown Massabielle quarter faubourg de Massabielle sometimes described picturesque city,The Massabielle quarter considered photogenic,en,English,0
7e89da4ba3,4 Not enough known nontransportation cost vary distance,The way distance affect nontransportation cost subject n't enough information,en,English,0
6bb2d551f1,surprised though many politics,I surprised many politics,en,English,2
1589ccaac1,The draft treaty Tommy 's bait,The treaty bait Tommy,en,English,2
8289cdfc7d,Therefore number boilermakers may actually grow quickly assumed,The number boil maker decrease drastically expected,en,English,2
80001fec89,As long Assad life manage trouble keep agreement Israel,As long Assad n't die able take care trouble,en,English,0
d999bfa2a1,The four Javis child asked Severn,Severn know everything Jarvis child,en,English,1
d4dd5ba80d,My brain refusing command properly,My brain commanding properly,en,English,0
