id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,comment considered formulating interim rule,rule developed interim put together comment mind,en,English,0
5b72532a0b,issue wrestle practice group law firm said,Practice group permitted work issue,en,English,2
5622f0c60b,know ca nt really defend like somebody grown uh say age know yeah,cant defend age,en,English,0
fdcd1bd867,Cockpit Country St Ann Bay,St Ann Bay Cockpit Country,en,English,2
7cfb3d272c,Look skin going trouble nt get busy,bos fire see slacking,en,English,1
dd4f0d9f25,people knew fatally easy poison one mistake would nt joke,Many people poisoned someone mistake,en,English,1
0a3f52c547,little corner world policy wonking example,example policy wonking,en,English,0
4b0eca3ccb,life prison available parole life day eligible parole know let quit BSing system,system corrupt wo nt able get parole life day,en,English,1
cad235551c,street crammed vendor selling shrine offering sweet curd coconut well garland holy image,Vendors lined street torch fire,en,English,2
d8b3a4fb06,North Mytilini stop village Moria find remains huge Roman aqueduct surrounded grazing goat,nothing special see village Moria,en,English,2
ad5a79456e,Increased saving current generation would expand nation capital stock allowing future generation better afford nation retirement cost also enjoying higher standard living,Current generation increased saving would expand nation capital stock allowing future generation easily afford nation retirement cost also enjoying higher standard living,en,English,0
a7b0b9498c,beginning,great journey begin,en,English,1
17c1f14619,Britain bestselling tabloid Sun announced frontpage world exclusive Friday Texan model Jerry Hall started divorce proceeding aging rock star Mick Jagger High Court London,Sun make million every year fake news,en,English,1
f5f4dc48c1,Savonarola burned Florence,Florence became Savonarola new home,en,English,2
6a98a077a5,COLOSSAL,gigantic,en,English,0
655cc51991,say men,said men,en,English,2
89fdd6de05,yeah uhhuh oh yeah petting zoo thing,Yes petting thing,en,English,0
14fa262750,almost midtown Massabielle quarter faubourg de Massabielle sometimes described picturesque city,Massabielle quarter considered photogenic,en,English,0
7e89da4ba3,4 enough known nontransportation cost vary distance,way distance affect nontransportation cost subject nt enough information,en,English,0
6bb2d551f1,surprised though many politics,surprised many politics,en,English,2
1589ccaac1,draft treaty Tommy bait,treaty bait Tommy,en,English,2
8289cdfc7d,Therefore number boilermakers may actually grow quickly assumed,number boil maker decrease drastically expected,en,English,2
80001fec89,long Assad life manage trouble keep agreement Israel,long Assad nt die able take care trouble,en,English,0
d999bfa2a1,four Javis child asked Severn,Severn know everything Jarvis child,en,English,1
d4dd5ba80d,brain refusing command properly,brain commanding properly,en,English,0
ad4b9214af,girl writes little farewell activity nt fare well eh chortled,farewell activity nt go well,en,English,0
097b4dfe2a,walk,need pas foot,en,English,0
b0c2761b43,exclaimed astonished,cried shock,en,English,0
37c01740c6,Bauerstein Styles fatal night added said twice alters everything thinking,Styles responsible happened,en,English,1
3d3149ec45,Long ago away whatever world called another called Earth,Erath world ever existed,en,English,2
6c12f1e611,time spill vase Mrs Inglethorp bedroom nose cried,hidden another country impossible u locate,en,English,2
9832b523a0,always pay someone else cutting fertilize um edge um think year going landscaping put,never developed love gardening,en,English,1
71bcd59dd6,get little obsessive sauce,sauce complicated obsessed perfecting ingredient,en,English,1
aab0894630,Rather kid today little bundle joy also perhaps ultimate symbol worldly success status,kid today symbol success status parent,en,English,1
7ca8ba219d,China civil war sent distressing echo Hong Kong,Japan fought civil war,en,English,2
e390988e6f,seven grant flow new Nonprofit Capacity Building program foundation part trend among philanthropist give money help organization grow stronger rather program service provide,grant flow Nonprofit Capacity Building program foundation exemplifying trend among philanthropist give money grow organization take,en,English,1
9e42108ae0,eligibility could restricted already pregnant least sexually active age 13 age 21 combination thereof,age consent age 21 well,en,English,1
4acead92d8,respect bringing Steve Jobs back save Apple like bringing Gen,Steve Jobs came back Apple,en,English,0
7b6768c074,somebody home ill tend mean cant make everybody,anything,en,English,2
11788e6295,generation generation Michiko Kakutani New York Times like Pearl K Bell Wall Street Journal find surfeit sweetly obedient docility novel say part perilously edge sentimentality,complained novel lacked emotion,en,English,2
75cbac107c,Hey problem fine policy,worry good policy,en,English,0
5b09f9eabb,tro subway fastest way move around city bus capital big town best taking sight,Taking subway good way experience big city life,en,English,2
c5c2c039e5,sure took granted made mistake,simply assumed made mistake,en,English,0
604b64ca7f,Plano school system living Richardson real dichotomy term educational economic background kid going attending school,huge amount poor student wealthy,en,English,1
716eeeea2a,okay think hang nt think anything else,hang right,en,English,0
5de2aa81ed,capitalized natural resource using salt cure fish exported home country,used salt cure fish sent back home,en,English,0
f0e86993ca,News berates computer user picking obvious easily cracked password chastises system administrator ignoring basic security precaution,News outlet blame user system administrator security breach,en,English,2
b3c705a914,good fortune proving right,showing correct,en,English,0
99b71d209e,bad chose use McIntyre instead,McIntyre picked used closing pitcher,en,English,1
8bbc9fd459,thing cost almost prohibitive bring dealer,cheap bring dealer,en,English,2
3c2e8a360d,WHOLE LIFE POLICIES Policies provide insurance insured entire life proceeds face amount paid upon death insured,whole life policy best choice someone expects live age 90,en,English,1
b1ad9fb1ef,2466 discus four collection include certification minimum number installed operating microwave link maintenance computerreadable database,2466 discus four collection,en,English,0
7cc9bb38f9,Women provides shelter outreach domesticviolence victim already fulltime attorney,fulltime attorney Women already,en,English,0
a8bcd9ccf7,uh high humidity,Air increased water content,en,English,0
80f6ac92a4,need look implication differing role range issue SES core competency performance standard recruitment source mobility training development program,completely ignore implication role mobility,en,English,2
