id,premise,hypothesis,lang_abv,language,label
3931fbe82a,"Little things like these make a huge difference, I try to do",I was trying to accomplish something,fr,French,0
86aaa48b45,"The same is true in role playing. Opportunities to express themselves and play multiple roles may help children recognize similarities and differences between people in their desires, beliefs, and feelings.",Children can see how different ethnicities are.,th,Thai,1
ed7d6a1e62,"You may hear someone on a farm say we should slaughter the oxen that are penned in, which probably means separate the ones to be loaded.",On the farm people use different terms,tr,Turkish,0
5a0f4908a0,"Upon his return to the United States, Hajj was met at the airport by FBI agents, interrogated, and the next day before a federal grand jury indicted Osama bin Laden.",Hague was investigated by FBI agents,ur,Urdu,0
8c10229663,Every hundred degrees the paint spots change their color red change color blue,Paint changes according to color,ru,Russian,0
a1971593d5,"We may not have had everything we wanted or saw other people have, but she provided the essentials we needed.",We had everything we really needed.,bg,Bulgarian,0
2bf4b86d4f,Twenty percent interest falls,Might be interested in more 20,de,German,1
91b03f6bf4,"If possible, define the plot in advance","Try to understand the beginning plot, if you can",ar,Arabic,0
4c25aa4c06,I hope your lordship will at last begin to see the folly of granting a king's council to such a man against all my suggestions.,Your Excellency has just accepted my opinion and acted accordingly.,zh,Chinese,2
82f24422eb,Mjodi claims that he went home to Morocco to get married but was unable to do so because he was injured in a car accident.,Mazoudi claimed that he went along with the plan as planned.,hi,Hindi,2
6d63ae6397,Children would knock on their neighbors' doors and,Children could go to their neighbors house.,sw,Swahili,0
1ec4761d9d,I assure you sir is fully aware of everything,Many details were hidden from,ru,Russian,2
00c0cdf348,Colder and farther than ever has grown the voice of the warlord.,God's voice felt distant and cold,vi,Vietnamese,0
8b8a91643a,27 Difficulty increases measure need for boiler modifications take adapt SCR installation increases,27 Difficulty depends on modifications,es,Spanish,0
a2a8b36437,"As a result, government decision-makers and leaders adopt new ways of thinking by considering different ways of achieving goals using new information and guiding decisions.",Government representatives refuse to change their lifestyle,el,Greek,2
ca2570d90c,Such boats were designed to allow access for arriving ships.,Boats were introduced to make it easier to catch incoming ships.,sw,Swahili,0
fc9b9e81ec,"I have never understood why the international writing of the national phone number is not used in all kinds of English dictionaries, but this is beyond the scope of our words in this review.",This review is small in scope so it does not discuss why International Symposium Writing is not used in English dictionaries.,sw,Swahili,0
aa6feee06e,"The dispute, management is now pointing to doing these food stamps, of course, can also turn to basic welfare-TANF.",The government hasn't said anything about food stamps or welfare.,zh,Chinese,2
8540c11e37,Social Security contains established programs exclusively for federal employee pension retirement plans,Social insurance includes federal employee plan,de,German,0
b277ab420e,watch girl parka white fur boots,The girl dressed all in red,fr,French,2
792afbd06a,The most legendary feature of the building is related to the cave arms.,There is a very big waiting room in the building.,ur,Urdu,1
43b978ef75,Others do not make the consumer happy enough,Others are sufficient,tr,Turkish,2
126018a551,"He looked up in surprise, and then sat down cheating with her with a thoughtful glance.",She was braver than he expected.,hi,Hindi,1
61f15fd66d,"On May 1, we will close membership renewal elections for 1991 contributors.",There is a chance for 1500 members to renew their membership.,sw,Swahili,1
12840a5edd,TV dinners bring a bad stain.,People on TV only eat breakfast and lunch.,zh,Chinese,2
714a367262,The inability to communicate critical element crash sites World Trade Centers Pentagon Somerset County Pennsylvania multiple agencies multiple jurisdictions responded,It's difficult to communicate with people at World Trade Center,de,German,0
bda3f7467b,Properly implemented this approach provides reasonable assurance that a trip has occurred,The approach shows travel takes place,fr,French,0
e5c40e04ec,Be the blood of the mind now,A country that quickly reached its conclusion,ar,Arabic,0
c69352547f,A zip code uses multiple routes,Every zip code route is served,de,German,2
cc18ec8d15,"Well, Texas and we have a teacher who died of AIDS",Before I went to Texas,ar,Arabic,2
05ab8a9326,The prevailing spirit of liberalism arrives in Europe and Spain late,Spain has never been liberal,ar,Arabic,2
24444bd5df,"Left to its own devices, this reaction is exergonic, and in the presence of an excess of trimers, relative to the equilibrium ratio of hexamer to trimers, will proceed exergonically toward equilibrium by synthesizing the hexamer.","If this reaction is untouched, it will eventually reach equilibrium.",bg,Bulgarian,0
26ef4fcb0c,The French subjunctive complexity worries less people for the simple reason that they don't try to use it,He doesn't try because he has no motivation,fr,French,1
7fa1543ed0,Will the White House delight,Will the White House change its mind?,fr,French,0
2b2010a718,With easier assimilation Anglo community only Protestant schools accepted their children Eastern European Jews have graduated from wealthy Westmount or immigrated again Toronto,Jews were more easily integrated into the English community,el,Greek,0
12127455a8,And how much - Are you afraid of the clumsy Barbadian seeder? What is tormenting Peter? I used to see him scared. A shot rang out behind him.,Never saw Peter was afraid of something,ru,Russian,0
89467c0148,"The subjective word, the ordinary word rather than the legal word, is a trouble maker and should be avoided",Complacency is a problem,ar,Arabic,2
de5351757f,"In contrast, in the Cite de la Musique is the Musee de la Musique and the giant concert hall, Zenith.",A zine is a large-scale concert event.,th,Thai,0
5aabaf3da7,Hope to hear from you soon.,Never speak to me again!,bg,Bulgarian,2
bbd3930178,The Fannie Flono grew up Ag -- Augusta GA childhood memories speak,Fannie Flono was able to speak today despite her busy schedule,de,German,1
97ca4170dd,"My hero, however, is Richard Hazeltine, chairman of the Overseas Investment Trust, who resigned earlier this month in disagreement with the business plan imposed by his superiors.",Hazeltine quit his job.,bg,Bulgarian,0
b02c0e148c,This is no secret to music retailers.,Music retailers are completely in the dark about this.,hi,Hindi,2
e66e2e370a,Stevenson article shows fundamental lack of understanding implies campaign,Although Stevenson's well-traveled campaign article makes it clear that paying attention to campaigning is even at a basic level.,es,Spanish,1
6e108e3994,like song general rule vote choose rap,I rap fan like songs,de,German,0
aae865505c,Newsweek says tourists and celebrities flock to Patagonia. It was once a safe haven for fugitive Nazis.,New hotels have been built in Patagonia to accommodate tourists.,th,Thai,1
dd63e67222,"Oh, I understand the atmosphere here.",I don't like this style,zh,Chinese,0
fc0a6ac2f5,Its official name is Flavian Amphitheater surname of the builder Emperor Vespasian,Nobody knows Amphitheater Pozzuoli got name,de,German,2
6211b5072d,He was at the height of the Cuban Missile Crisis and Kaiser got the pictures and headed to Andrews Air Force Base in Washington.,Only one person was killed in the Cuban Missile Crisis,sw,Swahili,1
6c2527b960,"In the case of US 11, the last normal communication from the plane was at 8:13 am.",There has been no communication from American 11.,vi,Vietnamese,2
df8998b7a7,"Well, my grandparents were always very, very loving and so were my parents and we were down there having a great time.",My grandparents were a very loving couple.,zh,Chinese,0
ceedd25541,"If anyone has the 1984 edition, he will probably resent having to buy that rather than a smaller (and less expensive) copy.",Surcharges are cheaper than books.,vi,Vietnamese,0
73fff19324,I told them sister,I blamed sister,es,Spanish,0
8f448b8aa5,"Ajaj entered the United States tourist visa B-2 city New York September 9, 1991",Ajaj tourist visa United States,es,Spanish,0
8a4a9c16be,"In 2003, the codes were abolished; questions related to international terrorism received a code -- 315",All issues related to terrorism receive the highest priority,ru,Russian,1
73dce915f0,Notices lawyer opposition court administrative agency should be sent,Opposing court counsel expects to receive legal notices,fr,French,1
e1e92f6499,President Kennedy tells the pilots Gentlemen you take good pictures,Kennedy recognized them,el,Greek,2
4c7b129507,"what is We have about an acre, yes it's weird because we have","It's no joke, we only have one square foot of land.",ur,Urdu,2
247c31cc1f,"Therefore I know that you go to the limit, you are compassionate, you care for others",I know you just don't care about people at all,el,Greek,2
